Year,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,percent_cover_mean
2001,NA,NA,0
2002,annual marsh elder,Iva annua L.,96
2002,Bare Ground,Bare Ground,0
2002,big cordgrass,Spartina cynosuroides (L.) Roth,2
2002,black mangrove,Avicennia germinans (L.) L.,45
2002,bristlegrass,Setaria P. Beauv.,97
2002,camphor pluchea,Pluchea camphorata (L.) DC.,94
2002,cattail,Typha L.,90
2002,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,96
2002,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,90
2002,common reed,Phragmites australis (Cav.) Trin. ex Steud.,95
2002,cosmopolitan bulrush,Bolboschoenus maritimus (L.) Palla,96
2002,crowngrass,Paspalum L.,95
2002,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",2
2002,eastern baccharis,Baccharis halimifolia L.,94
2002,fragrant flatsedge,Cyperus odoratus L.,86
2002,giant bristlegrass,Setaria magna Griseb.,97
2002,herb of grace,Bacopa monnieri (L.) Pennell,2
2002,Jesuit's bark,Iva frutescens L.,79
2002,needlegrass rush,Juncus roemerianus Scheele,95
2002,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,82
2002,saltgrass,Distichlis spicata (L.) Greene,83
2002,saltmarsh morning-glory,Ipomoea sagittata Poir.,96
2002,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,81
2002,seashore paspalum,Paspalum vaginatum Sw.,98
2002,seaside goldenrod,Solidago sempervirens L.,94
2002,smooth cordgrass,Spartina alterniflora Loisel.,34
2002,southern amaranth,Amaranthus australis (A. Gray) Sauer,90
2002,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,60
2002,sweetscent,Pluchea odorata (L.) Cass.,94
2002,torpedo grass,Panicum repens L.,2
2002,NA,NA,0
2003,annual marsh elder,Iva annua L.,78
2003,annual seepweed,Suaeda linearis (Elliott) Moq.,75
2003,bearded sprangletop,Leptochloa fusca (L.) Kunth,78
2003,black mangrove,Avicennia germinans (L.) L.,46
2003,broadleaf cattail,Typha latifolia L.,40
2003,bulltongue arrowhead,Sagittaria lancifolia L.,53
2003,cattail,Typha L.,52
2003,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,65
2003,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,15
2003,cosmopolitan bulrush,Bolboschoenus maritimus (L.) Palla,66
2003,dogfennel,Eupatorium capillifolium (Lam.) Small,82
2003,dotted smartweed,Polygonum punctatum Elliott,50
2003,dwarf saltwort,Salicornia bigelovii Torr.,41
2003,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,38
2003,eastern baccharis,Baccharis halimifolia L.,29
2003,fragrant flatsedge,Cyperus odoratus L.,20
2003,giant cutgrass,Zizaniopsis miliacea (Michx.) D?ll & Asch.,25
2003,Gulf Coast spikerush,Eleocharis cellulosa Torr.,63
2003,hairypod cowpea,Vigna luteola (Jacq.) Benth.,43
2003,Jesuit's bark,Iva frutescens L.,49
2003,lambsquarters,Chenopodium album L.,85
2003,lavender thrift,Limonium carolinianum (Walter) Britton,75
2003,marsh elder,Iva L.,69
2003,needlegrass rush,Juncus roemerianus Scheele,19
2003,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,65
2003,saltgrass,Distichlis spicata (L.) Greene,56
