Year,Common_Name_As_Originally_Observed,Scientific_Name_As_Currently_Recognized,percent_cover_mean
2009,delta arrowhead,Sagittaria platyphylla (Engelm.) J.G. Sm.,72
2009,dodder,Cuscuta L.,95
2009,dogfennel,Eupatorium capillifolium (Lam.) Small,58
2009,dotted smartweed,Polygonum punctatum Elliott,65
2009,dwarf saltwort,Salicornia bigelovii Torr.,49
2009,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",54
2009,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,79
2009,eastern baccharis,Baccharis halimifolia L.,92
2009,fall panicgrass,Panicum dichotomiflorum Michx.,92
2009,fern flatsedge,Cyperus filicinus Vahl,95
2009,fragrant flatsedge,Cyperus odoratus L.,91
2009,Gulf Coast spikerush,Eleocharis cellulosa Torr.,85
2009,gulf coast swallow-wort,Cynanchum angustifolium Pers.,83
2009,gulf cordgrass,Spartina spartinae (Trin.) Merr. ex Hitchc.,77
2009,hairypod cowpea,Vigna luteola (Jacq.) Benth.,81
2009,herb of grace,Bacopa monnieri (L.) Pennell,92
2009,Jesuit's bark,Iva frutescens L.,79
2009,knotgrass,Paspalum distichum L.,72
2009,Malabar sprangletop,Leptochloa fusca (L.) Kunth,88
2009,marsh bristlegrass,Setaria parviflora (Poir.) Kergu?len,87
2009,marsh elder,Iva L.,98
2009,marsh fimbry,Fimbristylis castanea (Michx.) Vahl,95
2009,Maryland goldenaster,Chrysopsis mariana (L.) Elliott,60
2009,needlegrass rush,Juncus roemerianus Scheele,74
2009,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,82
2009,pigweed,Amaranthus L.,95
2009,riverhemp,Sesbania Scop.,73
2009,rose of Plymouth,Sabatia stellaris Pursh,90
2009,rough barnyardgrass,Echinochloa muricata (P. Beauv.) Fernald,95
2009,salt heliotrope,Heliotropium curassavicum L.,100
2009,saltgrass,Distichlis spicata (L.) Greene,77
2009,saltmarsh false foxglove,Agalinis maritima (Raf.) Raf.,88
2009,saltmarsh morning-glory,Ipomoea sagittata Poir.,79
2009,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,78
2009,seashore paspalum,Paspalum vaginatum Sw.,85
2009,sedge,Carex L.,76
2009,silverhead,Blutaparon vermiculare (L.) Mears,68
2009,smooth cordgrass,Spartina alterniflora Loisel.,70
2009,softstem bulrush,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,92
2009,southern amaranth,Amaranthus australis (A. Gray) Sauer,80
2009,spikerush,Eleocharis R. Br.,92
2009,strawcolored flatsedge,Cyperus strigosus L.,95
2009,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,80
2009,swamp sawgrass,Cladium mariscus (L.) Pohl,90
2009,swamp smartweed,Polygonum hydropiperoides Michx.,85
2009,sweetscent,Pluchea odorata (L.) Cass.,82
2009,torpedo grass,Panicum repens L.,84
2009,turtleweed,Batis maritima L.,73
2009,variable flatsedge,Cyperus difformis L.,55
2009,Virginia glasswort,Salicornia depressa Standl.,75
2009,Virginia saltmarsh mallow,Kosteletzkya virginica (L.) C. Presl ex A. Gray,80
2009,wand lythrum,Lythrum lineare L.,81
2010,alligatorweed,Alternanthera philoxeroides (Mart.) Griseb.,84
2010,annual seepweed,Suaeda linearis (Elliott) Moq.,77
2010,aster,Symphyotrichum Nees,88
2010,Baldwin's spikerush,Eleocharis baldwinii (Torr.) Chapm.,15
2010,Bare Ground,Bare Ground,0
2010,barnyardgrass,Echinochloa crus-galli (L.) P. Beauv.,75
2010,big cordgrass,Spartina cynosuroides (L.) Roth,77
2010,black mangrove,Avicennia germinans (L.) L.,59
2010,broadleaf cattail,Typha latifolia L.,87
2010,bulltongue arrowhead,Sagittaria lancifolia L.,74
2010,bushy seaside tansy,Borrichia frutescens (L.) DC.,79
2010,California bulrush,Schoenoplectus californicus (C.A. Mey.) Palla,84
2010,Carolina desert-thorn,Lycium carolinianum Walter,79
2010,cattail,Typha L.,95
2010,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,80
2010,Chinese tallow,Triadica sebifera (L.) Small,60
2010,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,83
2010,common reed,Phragmites australis (Cav.) Trin. ex Steud.,69
2010,common threesquare,Schoenoplectus pungens (Vahl) Palla,86
2010,creeping spikerush,Eleocharis fallax Weath.,95
2010,crested saltbush,Atriplex cristata Humb. & Bonpl. ex Willd.,75
2010,delta arrowhead,Sagittaria platyphylla (Engelm.) J.G. Sm.,80
2010,delta bulrush,Schoenoplectus deltarum (Schuyler) Sojÿk,80
2010,Dixie iris,Iris hexagona Walter,95
2010,dodder,Cuscuta L.,78
2010,dogfennel,Eupatorium capillifolium (Lam.) Small,75
2010,dotted smartweed,Polygonum punctatum Elliott,90
2010,dwarf saltwort,Salicornia bigelovii Torr.,80
2010,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",42
2010,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,74
2010,eastern baccharis,Baccharis halimifolia L.,68
2010,fall panicgrass,Panicum dichotomiflorum Michx.,90
2010,false daisy,Eclipta prostrata (L.) L.,75
2010,flatsedge,Cyperus L.,78
2010,fragrant flatsedge,Cyperus odoratus L.,75
2010,giant bristlegrass,Setaria magna Griseb.,75
2010,giant cutgrass,Zizaniopsis miliacea (Michx.) D?ll & Asch.,60
2010,Gulf Coast spikerush,Eleocharis cellulosa Torr.,85
2010,gulf coast swallow-wort,Cynanchum angustifolium Pers.,85
2010,hairypod cowpea,Vigna luteola (Jacq.) Benth.,82
2010,haspan flatsedge,Cyperus haspan L.,77
2010,herb of grace,Bacopa monnieri (L.) Pennell,53
2010,Jesuit's bark,Iva frutescens L.,82
2010,longtom,Paspalum denticulatum Trin.,95
2010,lowland rotala,Rotala ramosior (L.) Koehne,85
2010,Malabar sprangletop,Leptochloa fusca (L.) Kunth,65
2010,needlegrass rush,Juncus roemerianus Scheele,79
2010,pale spikerush,Eleocharis macrostachya Britton,92
2010,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,77
2010,possumhaw,Ilex decidua Walter,60
2010,redstem,Ammannia L.,70
2010,rope dodder,Cuscuta glomerata Choisy,15
2010,saltgrass,Distichlis Raf.,80
2010,saltgrass,Distichlis spicata (L.) Greene,81
2010,saltmarsh morning-glory,Ipomoea sagittata Poir.,80
2010,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,83
2010,seashore paspalum,Paspalum vaginatum Sw.,83
2010,seaside goldenrod,Solidago sempervirens L.,68
2010,shoreline seapurslane,Sesuvium portulacastrum (L.) L.,75
2010,silverhead,Blutaparon vermiculare (L.) Mears,55
2010,smooth cordgrass,Spartina alterniflora Loisel.,76
2010,softstem bulrush,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,72
2010,southern amaranth,Amaranthus australis (A. Gray) Sauer,81
2010,southern cattail,Typha domingensis Pers.,95
2010,spikerush,Eleocharis R. Br.,85
2010,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,79
2010,swamp sawgrass,Cladium mariscus (L.) Pohl,75
2010,swamp smartweed,Polygonum hydropiperoides Michx.,95
2010,sweetscent,Pluchea odorata (L.) Cass.,93
2010,tidalmarsh amaranth,Amaranthus cannabinus (L.) Sauer,78
2010,torpedo grass,Panicum repens L.,82
2010,turtleweed,Batis maritima L.,73
2010,Virginia glasswort,Salicornia depressa Standl.,81
2010,Virginia saltmarsh mallow,Kosteletzkya virginica (L.) C. Presl ex A. Gray,92
2010,wand lythrum,Lythrum lineare L.,81
2010,wax myrtle,Morella cerifera (L.) Small,60
2010,NA,NA,0
2011,alligatorweed,Alternanthera philoxeroides (Mart.) Griseb.,88
2011,aster,Symphyotrichum Nees,95
2011,Baldwin's spikerush,Eleocharis baldwinii (Torr.) Chapm.,90
2011,barnyardgrass,Echinochloa crus-galli (L.) P. Beauv.,80
2011,big cordgrass,Spartina cynosuroides (L.) Roth,68
2011,bigpod sesbania,Sesbania herbacea (Mill.) McVaugh,60
2011,bigseed alfalfa dodder,Cuscuta indecora Choisy,55
2011,black mangrove,Avicennia germinans (L.) L.,63
2011,black willow,Salix nigra Marshall,80
2011,broadleaf cattail,Typha latifolia L.,87
2011,bulltongue arrowhead,Sagittaria lancifolia L.,78
2011,bushy seaside tansy,Borrichia frutescens (L.) DC.,77
2011,California bulrush,Schoenoplectus californicus (C.A. Mey.) Palla,83
2011,Carolina desert-thorn,Lycium carolinianum Walter,85
2011,cattail,Typha L.,66
2011,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,81
2011,Chinese tallow,Triadica sebifera (L.) Small,70
2011,climbing hempvine,Mikania scandens (L.) Willd.,90
2011,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,78
2011,common reed,Phragmites australis (Cav.) Trin. ex Steud.,74
2011,delta arrowhead,Sagittaria platyphylla (Engelm.) J.G. Sm.,100
2011,dodder,Cuscuta L.,60
2011,dotted smartweed,Polygonum punctatum Elliott,100
2011,dwarf saltwort,Salicornia bigelovii Torr.,85
2011,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",37
2011,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,86
2011,eastern baccharis,Baccharis halimifolia L.,79
2011,fall panicgrass,Panicum dichotomiflorum Michx.,100
2011,false daisy,Eclipta prostrata (L.) L.,88
2011,fern flatsedge,Cyperus filicinus Vahl,90
2011,fiveangled dodder,Cuscuta pentagona Engelm.,60
2011,fragrant flatsedge,Cyperus odoratus L.,74
2011,giant bristlegrass,Setaria magna Griseb.,90
2011,green carpetweed,Mollugo verticillata L.,75
2011,Gulf Coast spikerush,Eleocharis cellulosa Torr.,84
2011,gulf coast swallow-wort,Cynanchum angustifolium Pers.,97
2011,hairypod cowpea,Vigna luteola (Jacq.) Benth.,84
2011,herb of grace,Bacopa monnieri (L.) Pennell,82
2011,Jesuit's bark,Iva frutescens L.,81
2011,knotgrass,Paspalum distichum L.,70
2011,loosestrife,Lythrum L.,60
2011,Malabar sprangletop,Leptochloa fusca (L.) Kunth,83
2011,marsh fimbry,Fimbristylis castanea (Michx.) Vahl,81
2011,needlegrass rush,Juncus roemerianus Scheele,76
2011,pale spikerush,Eleocharis macrostachya Britton,100
2011,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,82
2011,pickleweed,Salicornia L.,2
2011,pink redstem,Ammannia latifolia L.,90
2011,poisonbean,Sesbania drummondii (Rydb.) Cory,75
2011,saltgrass,Distichlis spicata (L.) Greene,78
2011,saltmarsh morning-glory,Ipomoea sagittata Poir.,81
2011,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,78
2011,seashore paspalum,Paspalum vaginatum Sw.,77
2011,seaside goldenrod,Solidago sempervirens L.,83
2011,sedge,Carex L.,60
2011,shoreline seapurslane,Sesuvium portulacastrum (L.) L.,69
2011,silverhead,Blutaparon vermiculare (L.) Mears,28
2011,smooth cordgrass,Spartina alterniflora Loisel.,72
2011,softstem bulrush,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,95
2011,southern amaranth,Amaranthus australis (A. Gray) Sauer,84
2011,southern annual saltmarsh aster,Symphyotrichum divaricatum (Nutt.) G.L. Nesom,80
2011,southern cattail,Typha domingensis Pers.,84
2011,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,78
2011,swamp sawgrass,Cladium mariscus (L.) Pohl,100
2011,sweetscent,Pluchea odorata (L.) Cass.,82
2011,turtleweed,Batis maritima L.,67
2011,Unknown #1,Unknown #1,100
2011,Unknown #3,Unknown #3,60
2011,Virginia glasswort,Salicornia depressa Standl.,69
2011,Virginia saltmarsh mallow,Kosteletzkya virginica (L.) C. Presl ex A. Gray,80
2011,wand lythrum,Lythrum lineare L.,82
2011,white spikerush,Eleocharis albida Torr.,70
2011,yellow thistle,Cirsium horridulum Michx.,70
2011,NA,NA,0
2012,alligatorweed,Alternanthera philoxeroides (Mart.) Griseb.,80
2012,annual seepweed,Suaeda linearis (Elliott) Moq.,60
2012,aster,Symphyotrichum Nees,72
2012,Baldwin's spikerush,Eleocharis baldwinii (Torr.) Chapm.,90
2012,barnyardgrass,Echinochloa crus-galli (L.) P. Beauv.,92
2012,big cordgrass,Spartina cynosuroides (L.) Roth,72
2012,bigpod sesbania,Sesbania herbacea (Mill.) McVaugh,85
2012,bigseed alfalfa dodder,Cuscuta indecora Choisy,42
2012,black mangrove,Avicennia germinans (L.) L.,62
2012,broadleaf arrowhead,Sagittaria latifolia Willd.,90
2012,broadleaf cattail,Typha latifolia L.,84
2012,bulltongue arrowhead,Sagittaria lancifolia L.,80
2012,bulrush,Schoenoplectus (Rchb.) Palla,91
2012,bushy seaside tansy,Borrichia frutescens (L.) DC.,76
2012,California bulrush,Schoenoplectus californicus (C.A. Mey.) Palla,80
2012,camphor pluchea,Pluchea camphorata (L.) DC.,75
2012,Carolina desert-thorn,Lycium carolinianum Walter,84
2012,cattail,Typha L.,70
2012,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,78
2012,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,81
2012,coco yam,Colocasia esculenta (L.) Schott,72
2012,common reed,Phragmites australis (Cav.) Trin. ex Steud.,77
2012,common threesquare,Schoenoplectus pungens (Vahl) Palla,79
2012,copper iris,Iris fulva Ker Gawl.,80
2012,delta arrowhead,Sagittaria platyphylla (Engelm.) J.G. Sm.,62
2012,dodder,Cuscuta L.,42
2012,dogfennel,Eupatorium capillifolium (Lam.) Small,82
2012,dotted smartweed,Polygonum punctatum Elliott,87
2012,dwarf saltwort,Salicornia bigelovii Torr.,80
2012,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",35
2012,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,92
2012,eastern baccharis,Baccharis halimifolia L.,89
2012,fall panicgrass,Panicum dichotomiflorum Michx.,75
2012,false daisy,Eclipta prostrata (L.) L.,84
2012,fern flatsedge,Cyperus filicinus Vahl,60
2012,flatsedge,Cyperus L.,90
2012,fragrant flatsedge,Cyperus odoratus L.,79
2012,Gulf Coast spikerush,Eleocharis cellulosa Torr.,88
2012,gulf coast swallow-wort,Cynanchum angustifolium Pers.,78
2012,gulf cordgrass,Spartina spartinae (Trin.) Merr. ex Hitchc.,90
2012,hairypod cowpea,Vigna luteola (Jacq.) Benth.,83
2012,hairyseed paspalum,Paspalum pubiflorum Rupr. ex Fourn.,90
2012,herb of grace,Bacopa monnieri (L.) Pennell,82
2012,Jesuit's bark,Iva frutescens L.,78
2012,lanceleaf fogfruit,Phyla lanceolata (Michx.) Greene,90
2012,large-flower primrose-willow,Ludwigia grandiflora (Michx.) Greuter & Burdet,90
2012,Malabar sprangletop,Leptochloa fusca (L.) Kunth,80
2012,manyflower marshpennywort,Hydrocotyle umbellata L.,90
2012,marsh fimbry,Fimbristylis castanea (Michx.) Vahl,70
2012,needlegrass rush,Juncus roemerianus Scheele,73
2012,pale spikerush,Eleocharis macrostachya Britton,90
2012,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,75
2012,pickerelweed,Pontederia cordata L.,90
2012,pink redstem,Ammannia latifolia L.,100
2012,poisonbean,Sesbania drummondii (Rydb.) Cory,82
2012,rice cutgrass,Leersia oryzoides (L.) Sw.,88
2012,riverhemp,Sesbania Scop.,80
2012,salt heliotrope,Heliotropium curassavicum L.,45
2012,saltgrass,Distichlis spicata (L.) Greene,75
2012,saltmarsh morning-glory,Ipomoea sagittata Poir.,74
2012,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,75
2012,seashore paspalum,Paspalum vaginatum Sw.,84
2012,seaside goldenrod,Solidago sempervirens L.,85
2012,shoreline seapurslane,Sesuvium portulacastrum (L.) L.,83
2012,silverhead,Blutaparon vermiculare (L.) Mears,16
2012,smooth cordgrass,Spartina alterniflora Loisel.,68
2012,softstem bulrush,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,80
2012,southern amaranth,Amaranthus australis (A. Gray) Sauer,78
2012,southern cattail,Typha domingensis Pers.,83
2012,southern cutgrass,Leersia hexandra Sw.,88
2012,spotted water hemlock,Cicuta maculata L.,88
2012,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,77
2012,swamp sawgrass,Cladium mariscus (L.) Pohl,92
2012,swamp smartweed,Polygonum hydropiperoides Michx.,70
2012,sweetscent,Pluchea odorata (L.) Cass.,99
2012,torpedo grass,Panicum repens L.,78
2012,turkey tangle fogfruit,Phyla nodiflora (L.) Greene,90
2012,turtleweed,Batis maritima L.,62
2012,Unknown #2,Unknown #2,95
2012,Virginia glasswort,Salicornia depressa Standl.,73
2012,Virginia saltmarsh mallow,Kosteletzkya virginica (L.) C. Presl ex A. Gray,81
2012,wand lythrum,Lythrum lineare L.,79
2012,NA,NA,0
2013,alligatorweed,Alternanthera philoxeroides (Mart.) Griseb.,87
2013,amberique-bean,Strophostyles helvola (L.) Elliott,42
2013,annual seepweed,Suaeda linearis (Elliott) Moq.,8
2013,aster,Symphyotrichum Nees,80
2013,barnyardgrass,Echinochloa crus-galli (L.) P. Beauv.,80
2013,bayhops,Ipomoea pes-caprae (L.) R. Br.,40
2013,big cordgrass,Spartina cynosuroides (L.) Roth,72
2013,bigpod sesbania,Sesbania herbacea (Mill.) McVaugh,5
2013,bigseed alfalfa dodder,Cuscuta indecora Choisy,88
2013,bitter panicgrass,Panicum amarum Elliott,32
2013,black mangrove,Avicennia germinans (L.) L.,69
2013,bluestem,Andropogon L.,32
2013,bright green spikerush,Eleocharis olivacea Torr.,50
2013,broadleaf arrowhead,Sagittaria latifolia Willd.,85
2013,broadleaf cattail,Typha latifolia L.,85
2013,bulltongue arrowhead,Sagittaria lancifolia L.,78
2013,bushy bluestem,"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.",40
2013,bushy seaside tansy,Borrichia frutescens (L.) DC.,71
2013,butterweed,Packera glabella (Poir.) C. Jeffrey,25
2013,California bulrush,Schoenoplectus californicus (C.A. Mey.) Palla,85
2013,camphor daisy,Rayjacksonia phyllocephala (DC.) R.L. Hartm. & M.A. Lane,20
2013,camphor pluchea,Pluchea camphorata (L.) DC.,80
2013,Canadian horseweed,Conyza canadensis (L.) Cronquist,60
2013,Carolina desert-thorn,Lycium carolinianum Walter,95
2013,catchfly prairie gentian,Eustoma exaltatum (L.) Salisb. ex G. Don,71
2013,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,76
2013,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,91
2013,coco yam,Colocasia esculenta (L.) Schott,88
2013,common reed,Phragmites australis (Cav.) Trin. ex Steud.,66
2013,common threesquare,Schoenoplectus pungens (Vahl) Palla,90
2013,crowngrass,Paspalum L.,55
2013,delta arrowhead,Sagittaria platyphylla (Engelm.) J.G. Sm.,88
2013,dixie sandmat,Chamaesyce bombensis (Jacq.) Dugand,40
2013,dodder,Cuscuta L.,10
2013,dotted smartweed,Polygonum punctatum Elliott,80
2013,dwarf saltwort,Salicornia bigelovii Torr.,45
2013,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",95
2013,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,88
2013,eastern baccharis,Baccharis halimifolia L.,69
2013,fern flatsedge,Cyperus filicinus Vahl,82
2013,fimbry,Fimbristylis Vahl,37
2013,flatsedge,Cyperus L.,80
2013,fragrant flatsedge,Cyperus odoratus L.,85
2013,giant bristlegrass,Setaria magna Griseb.,95
2013,gulf bluestem,Schizachyrium maritimum (Chapm.) Nash,18
2013,Gulf Coast spikerush,Eleocharis cellulosa Torr.,75
2013,gulf coast swallow-wort,Cynanchum angustifolium Pers.,85
2013,gulf cordgrass,Spartina spartinae (Trin.) Merr. ex Hitchc.,52
2013,gulf croton,Croton punctatus Jacq.,19
2013,hairypod cowpea,Vigna luteola (Jacq.) Benth.,71
2013,herb of grace,Bacopa monnieri (L.) Pennell,39
2013,Jesuit's bark,Iva frutescens L.,77
2013,largeleaf pennywort,Hydrocotyle bonariensis Comm. ex Lam.,15
2013,lavender thrift,Limonium carolinianum (Walter) Britton,100
2013,longtom,Paspalum denticulatum Trin.,90
2013,Malabar sprangletop,Leptochloa fusca (L.) Kunth,16
2013,marsh fimbry,Fimbristylis castanea (Michx.) Vahl,44
2013,narrowleaf rose gentian,Sabatia brachiata Elliott,45
2013,needlegrass rush,Juncus roemerianus Scheele,76
2013,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,73
2013,poisonbean,Sesbania drummondii (Rydb.) Cory,71
2013,rice cutgrass,Leersia oryzoides (L.) Sw.,90
2013,rose of Plymouth,Sabatia stellaris Pursh,95
2013,rough barnyardgrass,Echinochloa muricata (P. Beauv.) Fernald,70
2013,salt heliotrope,Heliotropium curassavicum L.,12
2013,saltgrass,Distichlis spicata (L.) Greene,73
2013,saltmarsh morning-glory,Ipomoea sagittata Poir.,77
2013,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,74
2013,seashore dropseed,Sporobolus virginicus (L.) Kunth,28
2013,seashore paspalum,Paspalum vaginatum Sw.,79
2013,seaside goldenrod,Solidago sempervirens L.,62
2013,sharpscale flatsedge,Cyperus oxylepis Nees ex Steud.,18
2013,shoreline seapurslane,Sesuvium portulacastrum (L.) L.,45
2013,silverhead,Blutaparon vermiculare (L.) Mears,20
2013,smooth cordgrass,Spartina alterniflora Loisel.,72
2013,softstem bulrush,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,88
2013,southern amaranth,Amaranthus australis (A. Gray) Sauer,78
2013,southern annual saltmarsh aster,Symphyotrichum divaricatum (Nutt.) G.L. Nesom,65
2013,southern cattail,Typha domingensis Pers.,85
2013,southern cutgrass,Leersia hexandra Sw.,85
2013,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,72
2013,sweetscent,Pluchea odorata (L.) Cass.,58
2013,torpedo grass,Panicum repens L.,53
2013,turkey tangle fogfruit,Phyla nodiflora (L.) Greene,95
2013,turtleweed,Batis maritima L.,62
2013,Unknown #1,Unknown #1,60
2013,Virginia glasswort,Salicornia depressa Standl.,81
2013,Virginia saltmarsh mallow,Kosteletzkya virginica (L.) C. Presl ex A. Gray,40
2013,wand lythrum,Lythrum lineare L.,78
2013,yellow nutsedge,Cyperus esculentus L.,35
2013,NA,NA,0
2014,alligatorweed,Alternanthera philoxeroides (Mart.) Griseb.,100
2014,aster,Symphyotrichum Nees,83
2014,Baldwin's spikerush,Eleocharis baldwinii (Torr.) Chapm.,70
2014,barnyardgrass,Echinochloa crus-galli (L.) P. Beauv.,92
2014,big cordgrass,Spartina cynosuroides (L.) Roth,66
2014,bigseed alfalfa dodder,Cuscuta indecora Choisy,65
2014,black mangrove,Avicennia germinans (L.) L.,67
2014,broadleaf cattail,Typha latifolia L.,95
2014,bulltongue arrowhead,Sagittaria lancifolia L.,92
2014,bushy seaside tansy,Borrichia frutescens (L.) DC.,70
2014,Carolina desert-thorn,Lycium carolinianum Walter,88
2014,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,72
2014,common reed,Phragmites australis (Cav.) Trin. ex Steud.,57
2014,common threesquare,Schoenoplectus pungens (Vahl) Palla,100
2014,dotted smartweed,Polygonum punctatum Elliott,15
2014,dwarf saltwort,Salicornia bigelovii Torr.,35
2014,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",55
2014,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,85
2014,eastern baccharis,Baccharis halimifolia L.,65
2014,fragrant flatsedge,Cyperus odoratus L.,74
2014,Gulf Coast spikerush,Eleocharis cellulosa Torr.,95
2014,gulf coast swallow-wort,Cynanchum angustifolium Pers.,84
2014,hairypod cowpea,Vigna luteola (Jacq.) Benth.,75
2014,haspan flatsedge,Cyperus haspan L.,95
2014,herb of grace,Bacopa monnieri (L.) Pennell,80
2014,Jesuit's bark,Iva frutescens L.,72
2014,lanceleaf fogfruit,Phyla lanceolata (Michx.) Greene,65
2014,needlegrass rush,Juncus roemerianus Scheele,75
2014,perennial saltmarsh aster,Symphyotrichum tenuifolium (L.) G.L. Nesom,75
2014,poisonbean,Sesbania drummondii (Rydb.) Cory,30
2014,rice cutgrass,Leersia oryzoides (L.) Sw.,100
2014,rope dodder,Cuscuta glomerata Choisy,34
2014,saltgrass,Distichlis spicata (L.) Greene,72
2014,saltmarsh morning-glory,Ipomoea sagittata Poir.,70
2014,saltmeadow cordgrass,Spartina patens (Aiton) Muhl.,74
2014,sand spikerush,Eleocharis montevidensis Kunth,80
2014,seashore paspalum,Paspalum vaginatum Sw.,55
2014,seaside goldenrod,Solidago sempervirens L.,90
2014,silverhead,Blutaparon vermiculare (L.) Mears,42
2014,smooth cordgrass,Spartina alterniflora Loisel.,71
2014,softstem bulrush,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,35
2014,southern amaranth,Amaranthus australis (A. Gray) Sauer,77
2014,southern cattail,Typha domingensis Pers.,98
2014,sturdy bulrush,Bolboschoenus robustus (Pursh) Sojÿk,75
2014,sweetscent,Pluchea odorata (L.) Cass.,69
2014,torpedo grass,Panicum repens L.,98
2014,turtleweed,Batis maritima L.,55
2014,Virginia glasswort,Salicornia depressa Standl.,84
2014,wand lythrum,Lythrum lineare L.,73
2014,NA,NA,0
2015,aster,Symphyotrichum Nees,84
2015,barnyardgrass,Echinochloa crus-galli (L.) P. Beauv.,80
2015,Bermudagrass,Cynodon dactylon (L.) Pers.,85
2015,big cordgrass,Spartina cynosuroides (L.) Roth,64
2015,bigseed alfalfa dodder,Cuscuta indecora Choisy,33
2015,black mangrove,Avicennia germinans (L.) L.,62
2015,broadleaf cattail,Typha latifolia L.,78
2015,bulltongue arrowhead,Sagittaria lancifolia L.,100
2015,bushy seaside tansy,Borrichia frutescens (L.) DC.,66
2015,California bulrush,Schoenoplectus californicus (C.A. Mey.) Palla,88
2015,Carolina desert-thorn,Lycium carolinianum Walter,91
2015,catchfly prairie gentian,Eustoma exaltatum (L.) Salisb. ex G. Don,98
2015,chairmaker's bulrush,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,68
2015,climbing hempvine,Mikania scandens (L.) Willd.,85
2015,coast cockspur grass,Echinochloa walteri (Pursh) A. Heller,81
2015,common buttonbush,Cephalanthus occidentalis L.,85
2015,common reed,Phragmites australis (Cav.) Trin. ex Steud.,60
2015,dotted smartweed,Polygonum punctatum Elliott,62
2015,dwarf saltwort,Salicornia bigelovii Torr.,85
2015,dwarf spikerush,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",37
2015,eastern annual saltmarsh aster,Symphyotrichum subulatum (Michx.) G.L. Nesom,78
2015,eastern baccharis,Baccharis halimifolia L.,68
2015,fall panicgrass,Panicum dichotomiflorum Michx.,85
2015,fern flatsedge,Cyperus filicinus Vahl,50
2015,fragrant flatsedge,Cyperus odoratus L.,75
2015,giant bristlegrass,Setaria magna Griseb.,80
2015,gulf coast swallow-wort,Cynanchum angustifolium Pers.,90
2015,gulf cordgrass,Spartina spartinae (Trin.) Merr. ex Hitchc.,98
2015,hairypod cowpea,Vigna luteola (Jacq.) Benth.,79
2015,haspan flatsedge,Cyperus haspan L.,85
2015,herb of grace,Bacopa monnieri (L.) Pennell,60
2015,Jesuit's bark,Iva frutescens L.,64
