Year,Species,Metric Tons,Pounds,Dollars
1983,White Shrimp,14969.1,33000783,74617603
1984,White Shrimp,20808.7,45874767,82349897
1985,White Shrimp,24417,53829621,85992920
1986,White Shrimp,32450.6,71540547,132634718
1987,White Shrimp,24046,53011888,102226379
1988,White Shrimp,20695.3,45624881,78177451
1989,White Shrimp,18226.1,40181325,63107789
1990,White Shrimp,20272.6,44692880,80627757
1991,White Shrimp,21022.6,46346466,86457426
1992,White Shrimp,21240.9,46827690,82801494
1993,White Shrimp,16984.9,37445002,66905325
1994,White Shrimp,21208.3,46755748,96610742
1995,White Shrimp,23021.3,50752831,104361998
1996,White Shrimp,13321.7,29368912,60464626
1997,White Shrimp,16442.6,36249347,76359872
1998,White Shrimp,24005.4,52922374,100524635
1999,White Shrimp,25055.2,55236737,105315024
2000,White Shrimp,34411.8,75864291,152374346
2001,White Shrimp,24334.8,53648584,93715169
2002,White Shrimp,21430.5,47245582,77272332
2003,White Shrimp,28990.7,63912851,82069068
2004,White Shrimp,33894.9,74724642,96955824
2005,White Shrimp,27888.6,61483211,91249707
2006,White Shrimp,40309.3,88865876,108414904
2007,White Shrimp,29246.3,64476408,95533601
2008,White Shrimp,28620.2,63095993,107430070
2009,White Shrimp,36024.2,79418940,94445211
2010,White Shrimp,25959.3,57229951,84729789
2011,White Shrimp,23973.4,52851724,98703675
2012,White Shrimp,32239.7,71075751,112483010
2013,White Shrimp,26059,57449615,128818866
2014,White Shrimp,31563.2,69584203,148516188
2015,White Shrimp,27135.3,59822467,85199805
2016,White Shrimp,32669.3,72022787,117738392
